date,quantity,price
2024-03-01,10,356.4
2024-03-02,9,302.6
2024-03-03,10,334.8
2024-03-04,5,173.9
2024-03-05,10,365.1
2024-03-06,5,169.1
2024-03-07,6,229.1
2024-03-08,8,284.8
2024-03-09,13,441.9
2024-03-10,7,242.6
2024-03-11,8,267.6
2024-03-12,8,272.7
2024-03-13,9,231.1
2024-03-14,11,354.3
2024-03-15,3,117.4
2024-03-16,6,183.3
2024-03-17,2,68.9
2024-03-18,4,115.6
2024-03-19,5,185.2
2024-03-20,5,185.2
2024-03-21,6,205.4
2024-03-22,5,169.6
2024-03-23,7,252.9
2024-03-24,2,78.7
2024-03-25,6,223.6
2024-03-26,10,341.4
2024-03-27,8,278.1
2024-03-28,4,124.4
2024-03-29,4,155.4
2024-03-30,5,187.9
2024-03-31,2,68.7
2024-04-01,7,241.8
2024-04-02,4,134.5
2024-04-03,4,132.6
2024-04-04,5,185.2
2024-04-05,10,353.6
2024-04-06,4,132.4
2024-04-07,7,244.9
2024-04-08,9,295.3
2024-04-09,5,184.6
2024-04-10,4,129.7
2024-04-11,5,171.5
2024-04-12,2,67.6
2024-04-13,8,300.8
2024-04-14,12,398.3
2024-04-15,5,156.4
2024-04-16,7,236.1
2024-04-17,6,208.3
2024-04-18,9,301.8
2024-04-19,7,244.9
2024-04-20,12,406.6
2024-04-21,3,105.3
2024-04-22,5,177.3
2024-04-23,5,177.3
2024-04-24,8,279.0
2024-04-25,4,132.5
2024-04-26,9,302.4
2024-04-27,1,37.7
2024-04-28,5,170.2
2024-04-29,7,234.1
2024-04-30,8,287.4
2024-05-02,5,171.4
2024-05-03,3,114.4
2024-05-06,10,312.8
2024-05-07,9,324.9
2024-05-08,1,37.7
2024-05-09,8,281.7
2024-05-10,4,150.4
2024-05-11,7,260.6
2024-05-12,7,244.9
2024-05-13,3,90.8
2024-05-14,9,290.3
2024-05-15,10,296.3
2024-05-16,7,252.9
2024-05-17,8,277.9
2024-05-18,8,277.9
2024-05-19,12,380.6
2024-05-20,13,433.3
2024-05-21,7,241.4
2024-05-22,9,302.4
2024-05-23,15,520.8
2024-05-24,5,160.4
2024-05-25,7,223.9
2024-05-26,13,456.6
2024-05-27,9,295.3
2024-05-28,9,302.4
2024-05-29,10,342.9
2024-05-30,9,302.4
2024-05-31,9,322.9
2024-06-01,7,252.9
2024-06-02,5,177.3
2024-06-03,6,212.8
2024-06-04,11,370.7
2024-06-05,7,244.9
2024-06-06,9,302.4
2024-06-07,4,115.6
2024-06-08,3,103.6
2024-06-09,11,370.7
2024-06-10,5,187.9
2024-06-11,6,212.8
2024-06-12,5,187.9
2024-06-13,10,322.9
2024-06-14,3,103.6
2024-06-15,7,232.1
2024-06-16,11,370.7
2024-06-17,9,302.4
2024-06-18,7,244.9
2024-06-19,9,302.4
2024-06-20,6,212.8
2024-06-21,10,322.9
2024-06-22,4,132.8
2024-06-23,5,177.3
2024-06-24,6,212.8
2024-06-25,4,132.8
2024-06-26,5,170.2
2024-06-27,4,132.8
2024-06-28,4,132.8
2024-06-29,7,244.9
2024-06-30,4,132.8
2024-07-01,3,98.7
2024-07-02,5,160.4
2024-07-03,7,244.9
2024-07-04,2,60.7
2024-07-05,7,219.3
2024-07-06,5,160.4
2024-07-07,9,277.9
2024-07-08,5,138.4
2024-07-09,5,160.4
2024-07-10,2,50.9
2024-07-11,4,115.6
2024-07-12,4,115.6
2024-07-13,2,65.6
2024-07-14,6,179.6
2024-07-15,1,32.8
2024-07-16,2,60.7
2024-07-17,1,27.9
2024-07-18,10,266.8
2024-07-19,9,277.9
2024-07-20,7,206.3
2024-07-21,4,115.6
2024-07-22,3,74.0
2024-07-23,11,329.6
2024-07-24,10,266.8
2024-07-25,9,266.8
2024-07-26,13,370.7
2024-07-27,12,345.7
2024-07-28,3,79.7
2024-07-29,8,244.9
2024-07-30,19,533.6
2024-07-31,16,449.0
2024-08-01,11,312.8
2024-08-02,5,142.7
2024-08-03,9,260.6
2024-08-04,5,160.4
2024-08-05,10,292.7
2024-08-06,8,244.9
2024-08-07,8,229.0
2024-08-08,8,244.9
2024-08-09,7,219.3
2024-08-10,7,229.0
2024-08-11,10,292.7
2024-08-12,9,277.9
2024-08-13,11,339.6
2024-08-14,9,260.6
2024-08-15,10,292.7
2024-08-16,5,128.8
2024-08-17,8,244.9
2024-08-18,9,260.6
2024-08-19,3,87.7
2024-08-20,11,329.6
2024-08-21,6,179.6
2024-08-22,6,179.6
2024-08-23,10,292.7
2024-08-24,5,100.5
2024-08-25,4,115.6
2024-08-26,9,277.9
2024-08-27,1,32.8
2024-08-28,4,115.6
2024-08-29,1,23.0
2024-08-30,3,87.7
2024-08-31,5,128.8
2024-09-01,8,244.9
2024-09-02,7,229.0
2024-09-03,8,244.9
